"Age_group","Date","Residual","yday"
"01-14",2012-05-07,-0.75283687027268,128
"01-14",2012-05-14,0.0458540824586123,135
"01-14",2012-05-21,0.340217046408118,142
"01-14",2012-05-28,0.138951662494775,149
"01-14",2012-06-04,-0.422345425327923,156
"01-14",2012-06-11,-0.822843932012196,163
"01-14",2012-06-18,-0.790655158595704,170
"01-14",2012-06-25,-0.191978078022568,177
"01-14",2012-07-02,0.106925335328767,184
"01-14",2012-07-09,-0.575230741863283,191
"01-14",2012-07-16,0.351294762838183,198
"01-14",2012-07-23,-0.401927423757391,205
"01-14",2012-07-30,-0.261272653902503,212
"01-14",2012-08-06,0.608742652394799,219
"01-14",2012-08-13,-0.135850501092658,226
"01-14",2012-08-20,-0.253700020922451,233
"01-14",2012-08-27,-0.185638986693863,240
"01-14",2012-09-03,0.419618448362714,247
"01-14",2012-09-10,0.213076158737212,254
"01-14",2012-09-17,-0.417714220361733,261
"01-14",2012-09-24,0.18795617381753,268
"01-14",2012-10-01,0.173718577217612,275
"01-14",2012-10-08,-1.0192939369356,282
"01-14",2012-10-15,0.353261170086241,289
"01-14",2012-10-22,0.276191552172789,296
"01-14",2012-10-29,0.122249097465453,303
"01-14",2012-11-05,0.25667665609164,310
"01-14",2012-11-12,-0.154814570635856,317
"01-14",2012-11-19,-0.668540306283024,324
"01-14",2012-11-26,-0.380282799202395,331
"01-14",2012-12-03,0.43412101626467,338
"01-14",2012-12-10,-0.052965568932462,345
"01-14",2012-12-17,0.194519140107981,352
"01-14",2012-12-24,-0.260483478384812,359
"01-14",2012-12-31,0.0894431497741418,366
"01-14",2013-01-07,-0.221107982953771,7
"01-14",2013-01-14,-0.818542983674163,14
"01-14",2013-01-21,0.0569829961755317,21
"01-14",2013-01-28,-0.126627068175922,28
"01-14",2013-02-04,-0.129037278251743,35
"01-14",2013-02-11,0.0499766726332685,42
"01-14",2013-02-18,-0.359406898037834,49
"01-14",2013-02-25,0.0419580436336415,56
"01-14",2013-03-04,0.325807292383249,63
"01-14",2013-03-11,0.322690858023882,70
"01-14",2013-03-18,-0.660089393396104,77
"01-14",2013-03-25,0.440876558425842,84
"01-14",2013-04-01,0.188251200035567,91
"01-14",2013-04-08,-0.0835750251562299,98
"01-14",2013-04-15,-0.0462257693058302,105
"01-14",2013-04-22,-0.493598900711919,112
"01-14",2013-04-29,0.130440902029406,119
"01-14",2013-05-06,-0.0458151006012611,126
"01-14",2013-05-13,-0.308130969751093,133
"01-14",2013-05-20,0.28920389901762,140
"01-14",2013-05-27,-0.375818906139604,147
"01-14",2013-06-03,-0.0989356568207107,154
"01-14",2013-06-10,0.167298432869167,161
"01-14",2013-06-17,0.502250703248301,168
"01-14",2013-06-24,0.107401136129626,175
"01-14",2013-07-01,-0.420449509228141,182
"01-14",2013-07-08,0.352805525437482,189
"01-14",2013-07-15,0.0531695825059603,196
"01-14",2013-07-22,-0.54360441731879,203
"01-14",2013-07-29,0.157225084085941,210
"01-14",2013-08-05,-0.0194364856420338,217
"01-14",2013-08-12,-0.12145046491776,224
"01-14",2013-08-19,-0.0153479756063793,231
"01-14",2013-08-26,-0.169538865073839,238
"01-14",2013-09-02,0.168416242169578,245
"01-14",2013-09-09,-0.254545372805221,252
"01-14",2013-09-16,-0.265686005061013,259
"01-14",2013-09-23,0.0397954848702556,266
"01-14",2013-09-30,-0.762716864447915,273
"01-14",2013-10-07,-0.189319075101477,280
"01-14",2013-10-14,0.0843874295625401,287
"01-14",2013-10-21,0.419779050470095,294
"01-14",2013-10-28,-0.122211604817748,301
"01-14",2013-11-04,-0.488217443500666,308
"01-14",2013-11-11,0.267102063630045,315
"01-14",2013-11-18,-0.49886934315851,322
"01-14",2013-11-25,0.388035498299564,329
"01-14",2013-12-02,0.122527697868514,336
"01-14",2013-12-09,-0.358026622318366,343
"01-14",2013-12-16,0.133648450165836,350
"01-14",2013-12-23,0.204864540837071,357
"01-14",2013-12-30,0.023169959638494,364
"01-14",2014-01-06,0.228909730206276,6
"01-14",2014-01-13,-0.62126852372184,13
"01-14",2014-01-20,0.0721571487978917,20
"01-14",2014-01-27,-0.0159534980739242,27
"01-14",2014-02-03,0.417111588998227,34
"01-14",2014-02-10,0.288765799142725,41
"01-14",2014-02-17,0.467242197826754,48
"01-14",2014-02-24,-0.0293253037541782,55
"01-14",2014-03-03,-0.033213131998779,62
"01-14",2014-03-10,-0.354902456511609,69
"01-14",2014-03-17,-0.239253732787435,76
"01-14",2014-03-24,-0.239839499029344,83
"01-14",2014-03-31,-0.133312427551415,90
"01-14",2014-04-07,0.274786690786514,97
"01-14",2014-04-14,0.175881846616347,104
"01-14",2014-04-21,-0.0270709450191275,111
"01-14",2014-04-28,-0.237884903452338,118
"01-14",2014-05-05,-0.0312821253635673,125
"01-14",2014-05-12,-0.00593051088506684,132
"01-14",2014-05-19,-0.101797176680239,139
"01-14",2014-05-26,0.0905361308327718,146
"01-14",2014-06-02,0.65289931518479,153
"01-14",2014-06-09,0.506783212653751,160
"01-14",2014-06-16,-0.177018822051229,167
"01-14",2014-06-23,0.201211092346496,174
"01-14",2014-06-30,0.419954782352781,181
"01-14",2014-07-07,0.602947376245298,188
"01-14",2014-07-14,0.154041561423311,195
"01-14",2014-07-21,0.163591069186025,202
