"Date","Residual","yday"
2010-01-04,0.00527296117180083,4
2010-01-11,0.154833686012732,11
2010-01-18,0.088535376784965,18
2010-01-25,0.0296039203989648,25
2010-02-01,-0.012576316476242,32
2010-02-08,-0.0416903478173194,39
2010-02-15,-0.0306061673176685,46
2010-02-22,0.00235310646380021,53
2010-03-01,-0.0138071488533849,60
2010-03-08,-0.0180148018631751,67
2010-03-15,-0.010149731892562,74
2010-03-22,-0.00722966738119313,81
2010-03-29,-0.0582064534467021,88
2010-04-05,0.0269247939250346,95
2010-04-12,-0.0726356880101823,102
2010-04-19,0.0138321582114254,109
2010-04-26,0.0298708405059954,116
2010-05-03,-0.00523929706375097,123
2010-05-10,-0.0298029207548883,130
2010-05-17,0.0366378453140263,137
2010-05-24,0.0792324403413458,144
2010-05-31,0.0351518991485977,151
2010-06-07,-0.00472606577696529,158
2010-06-14,0.00622476545828311,165
2010-06-21,0.00397256958114597,172
2010-06-28,0.0641246326826279,179
2010-07-05,0.0249766719868895,186
2010-07-12,0.0151642443748371,193
2010-07-19,-0.0166721352366308,200
2010-07-26,-0.0131860905953753,207
2010-08-02,0.0181029935864015,214
2010-08-09,0.00708864129625753,221
2010-08-16,0.0441818706000816,228
2010-08-23,0.0529047445678717,235
2010-08-30,0.0107224545005444,242
2010-09-06,0.00748544525578805,249
2010-09-13,0.0412179767625178,256
2010-09-20,0.0495647392885887,263
2010-09-27,0.0114951690072046,270
2010-10-04,0.0436430600599812,277
2010-10-11,0.0325885824724271,284
2010-10-18,0.0307788083598757,291
2010-10-25,0.0236139540508549,298
2010-11-01,0.0601944443852385,305
2010-11-08,0.0267442261867281,312
2010-11-15,0.0208804778979542,319
2010-11-22,0.0102376242264664,326
2010-11-29,-0.0376770779199588,333
2010-12-06,0.130978340481365,340
2010-12-13,0.0755007676585828,347
2010-12-20,0.103113882449648,354
2010-12-27,0.147764928558034,361
2011-01-03,0.110531434387319,3
2011-01-10,-0.00563360554960631,10
2011-01-17,0.0445133653604718,17
2011-01-24,-0.0335393057622711,24
2011-01-31,-0.0577325919239364,31
2011-02-07,-0.0691378684848228,38
2011-02-14,-0.0833415906293046,45
2011-02-21,-0.103251461676179,52
2011-02-28,-0.0863942154959022,59
2011-03-07,-0.0510434382009566,66
2011-03-14,-0.0166951672849219,73
2011-03-21,-0.017244521482726,80
2011-03-28,-0.04726462951961,87
2011-04-04,-0.0111832176553265,94
2011-04-11,-0.0261291342725722,101
2011-04-18,-0.00636103980672709,108
2011-04-25,-0.0724651534461755,115
2011-05-02,-0.0592054483865691,122
2011-05-09,0.018984877680462,129
2011-05-16,-0.00820750310745124,136
2011-05-23,0.0299921512145114,143
2011-05-30,-0.0157373025857625,150
2011-06-06,-0.0228204049147474,157
2011-06-13,0.0404959928709619,164
2011-06-20,0.0169848185184797,171
2011-06-27,0.0180811329220904,178
2011-07-04,0.0177914118319252,185
2011-07-11,-0.0104849237242604,192
2011-07-18,-0.00462179266462246,199
2011-07-25,-0.00620896198737108,206
2011-08-01,0.0381727680418271,213
2011-08-08,0.0203092179791387,220
2011-08-15,0.00892228142323056,227
2011-08-22,0.0169925405370326,234
2011-08-29,-0.00348058164208966,241
2011-09-05,-0.0286355865791945,248
2011-09-12,0.0141435781236682,255
2011-09-19,-0.0115150605542625,262
2011-09-26,0.0162243209474023,269
2011-10-03,-0.023101479479043,276
2011-10-10,-0.0387671239369707,283
2011-10-17,-0.0562425949217037,290
2011-10-24,-0.00613764664514925,297
2011-10-31,0.0423215137747623,304
2011-11-07,-0.0273855983794781,311
2011-11-14,-0.00725528810784211,318
2011-11-21,-0.0358415656654943,325
2011-11-28,-0.051788711491327,332
2011-12-05,-0.0108376866757608,339
2011-12-12,0.0137428221671739,346
2011-12-19,0.0618359778830208,353
2011-12-26,0.00109535483837331,360
2012-01-02,-0.0874847808576259,2
2012-01-09,-0.166645226392029,9
2012-01-16,-0.0665837519345309,16
2012-01-23,-0.0720089100695992,23
2012-01-30,-0.0858085475826983,30
2012-02-06,-0.059607363143688,37
2012-02-13,-0.024029961324671,44
2012-02-20,0.0409434385999462,51
2012-02-27,0.0428279543680503,58
2012-03-05,0.0169626714795953,65
2012-03-12,-0.0138209970021481,72
2012-03-19,-0.0181043784029248,79
2012-03-26,-0.0298919364325719,86
2012-04-02,-0.0196917790435467,93
2012-04-09,0.0263920976278658,100
2012-04-16,-0.00773342496766763,107
2012-04-23,0.0701805272362716,114
2012-04-30,0.0537508450855744,121
2012-05-07,0.0343829201128795,128
2012-05-14,-0.00606512204559877,135
2012-05-21,0.0599036752136621,142
2012-05-28,0.0736298682659991,149
2012-06-04,-0.0668798773686029,156
2012-06-11,-0.044247675969025,163
2012-06-18,0.0399888548743412,170
2012-06-25,0.0198789481171545,177
2012-07-02,0.0262710899449906,184
2012-07-09,0.00882403342583389,191
2012-07-16,0.0018309235486706,198
2012-07-23,0.0270273371114855,205
2012-07-30,0.0400607077460269,212
2012-08-06,0.0319756351413048,219
2012-08-13,0.0342537919343729,226
2012-08-20,0.0607109001726762,233
2012-08-27,-0.0306935712211614,240
2012-09-03,-0.0329427510232169,247
2012-09-10,0.00490074431245754,254
2012-09-17,0.0121981318860807,261
2012-09-24,-0.00197956076719265,268
2012-10-01,0.00403756300023227,275
2012-10-08,0.0295812117791936,282
2012-10-15,0.00242756751771919,289
2012-10-22,0.0240399180044943,296
2012-10-29,-0.00370003809363931,303
2012-11-05,0.0274787298838168,310
2012-11-12,0.0416474596240818,317
2012-11-19,0.00638562071341111,324
2012-11-26,-0.0425847856056944,331
